Indicator,Country,Year,Value
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2002,28.75629
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2004,39.82867
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2005,35.35005
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2006,35.68081
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2007,31.78287
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2008,30.43618
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2009,30.46039
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2010,30.86208
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2011,33.83201
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2012,36.04835
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2013,35.67892
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2014,38.5489
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2015,40.46793
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2002,1.16621
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2003,4.55578
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2004,5.67835
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2005,2.9339
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2006,5.78246
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2007,6.07283
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2009,7.7958
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2012,14.15336
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2013,14.60745
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2014,16.63968
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2015,18.17226
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cape Verde,2016,19.09278
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Kenya,2000,13.75524
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Kenya,2002,16.73848
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Kenya,2003,0.63545
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Kenya,2006,2.12615
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Benin,2013,26.49959
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2003,34.06844
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2004,23.65124
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2005,12.46753
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2007,10.91833
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2008,9.15675
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2009,13.46315
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2010,13.68524
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2013,12.57974
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2014,13.91117
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sao Tome and Principe,2015,11.53793
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sudan,2011,52.30652
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sudan,2012,21.56795
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Egypt,2003,16.54267
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Egypt,2004,16.04198
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Egypt,2014,10.12311
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Egypt,2016,7.01273
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Comoros,2013,26.92944
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Comoros,2014,29.02711
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Liberia,2014,18.65447
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Liberia,2015,24.13992
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Chad,2000,61.52831
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Chad,2001,58.39816
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Chad,2002,56.99201
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Chad,2003,54.81461
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Angola,2008,15.7963
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Angola,2009,15.95772
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Angola,2010,11.72212
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Africa,2000,12.37044
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Africa,2001,13.66147
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Africa,2002,11.60161
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Africa,2003,10.21397
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Africa,2004,8.45999
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Africa,2005,7.64141
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cameroon,2012,31.83743
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cameroon,2014,30.33431
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cameroon,2015,29.47565
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cameroon,2016,31.25435
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2000,36.14277
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2003,27.93226
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2005,24.56224
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2006,25.23783
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2007,24.0688
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2008,22.65824
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2010,18.19442
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2011,14.39055
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Morocco,2012,9.68447
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea-Bissau,2000,40.35876
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sierra Leone,2013,39.4932
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Sierra Leone,2015,42.84051
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Senegal,2004,58.68147
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Senegal,2005,50.49954
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Senegal,2006,54.03907
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Togo,2001,24.47437
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Togo,2003,21.90137
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Togo,2004,22.60955
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Togo,2005,21.66517
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Togo,2007,27.70505
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Madagascar,2001,41.82072
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Madagascar,2003,35.0829
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2000,55.42042
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2001,57.45988
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2002,53.31188
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2003,50.52996
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2004,50.67282
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2005,48.33143
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2006,46.91457
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2007,48.06395
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2008,45.36099
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2009,45.29745
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2010,46.72006
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2011,47.08841
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2012,48.49581
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2013,54.60388
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2014,54.69356
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Eritrea,2015,54.41893
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Gambia,2006,31.42203
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Gambia,2007,26.92801
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Gambia,2008,25.05156
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Gambia,2010,23.66331
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Sudan,2011,40.31
"Rate of out-of-school adolescents of lower secondary school age, male (%)",South Sudan,2015,54.14933
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cote d'Ivoire,2014,42.06133
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Cote d'Ivoire,2016,37.33272
